ID,Proiect,Categorie,Tip,Fisier,Ce_face,Status,Venit_EUR,Efort_ore,Actualizare
IDEA-025,ASOCIATII,DATE,cod,ASOC PROP/*.py,"Registru 90K+ ONG-uri Romania - 42 judete, 49 CSV-uri",INGHETAT,neclar,4,2026-04-12
IDEA-026,CHINA TRADE,CERCETARE,scraper,scrapers/*.py,"3 scrapere (Made-in-China, NBS API, UN Comtrade) + 8 CSV-uri indicatori",CERCETARE,neclar,10,2026-03-22
IDEA-027,FOOD HORECA,CAMPANIE,cod,SUPERMARKETS_CLAUDE/CODE/*.py,"25 scripturi + 28K emailuri HORECA + SEAP winners + faliment cross-match",ACTIV,500-5000/contract,20,2026-04-12
IDEA-028,FRESKON,DATE,date,freskon_exhibitors.csv,Contacte expozanti targuri europene,ACTIV,parte din campanii,1,2026-04-12
IDEA-029,LEGUME MASINI,CERCETARE,scraper,scrape_competitors.py,Scrapeaza companii concurente utilaje sortare legume (Delecroix),CERCETARE,comision Delecroix,2,2026-04-12
IDEA-030,LLM CLASSIFIER,PRODUS,cod,email_responder.py + train_classifier.py,"Clasificator email sklearn 94.5% + raspunsuri automate + Gmail drafter",ACTIV,productizabil B2B,20,2026-04-12
IDEA-031,MERCOSUR,CAMPANIE,scraper,40+ scrapere + 50+ CSV-uri,"22 campanii sectoriale (beef/honey/lithium/etc) + registre 4 tari + ambasade",ACTIV,variabil export,100,2026-03-22
IDEA-032,NATO,CERCETARE,cod,OPENCODE/scripts/*.py,5 scripturi achizitii militare SEAP + matching capacitati,ACTIV,subcontractare,10,2026-04-12
IDEA-033,UNIFIED DB,REFERINTA,cod,company_lookup.py + db_helper.py,Utilitare cautare companii in PostgreSQL,ACTIV,suport intern,2,2026-04-12
IDEA-034,UK CONTRACTORS,CAMPANIE,plan,COUNTRIES/UK/IDEAS.md,"34 contractori majori UK cu sponsor license + 2597 constructii + API Find a Tender",CERCETARE,5000-50000/plasare,20,2026-03-17
IDEA-035,ALUMINUM,CAMPANIE,date,recyclers_aluminum.csv,"611 companii reciclare/aluminiu din TED cu email + aluminumrecyclehub.com domeniu",CERCETARE,plasare muncitori,5,2026-03-17
IDEA-036,INSOLVENTA ACTIVE,CERCETARE,plan,INSOLVENTA/IDEAS.md,"8 idei monetizare: licitatii ANAF, BPI, AAAS, bunuri ministere, creante, DaaS",CERCETARE,variabil,40,2026-04-12
IDEA-037,EVENT PUBLISHER,PRODUS,cod,quick_post.py + publisher.py + job_publisher.py,Auto-publicare multi-platforma (Telegram 6 canale + FB + LinkedIn pregatite),ACTIV,reach candidati,10,2026-03-19
IDEA-038,ELDERFLOWER,PRODUS,plan,LLM/MEMORY/ELDERFLOWER/IDEAS.md,"Pivnita Bunicii - agent vanzari 10% comision, Welcome Box expati, export UE",CERCETARE,5000-60000/an,20,2026-04-12
IDEA-039,CANADA CETA,CERCETARE,plan,CANADA_EU/claude.md,"Arbitraj CETA/CPTPP, transfer tehnologic, export agri-food Canada",CERCETARE,50000-2000000/an,100,2026-04-12
IDEA-040,EU PROIECTE,CAMPANIE,date,european_funds (PostgreSQL),"15969 beneficiari fonduri UE cu email - campanie consultanta + OIPA",GATA,consultanta,2,2026-04-09
IDEA-041,FDATING,PERSONAL,plan,DATING/FDATING_SEARCH.md,Cautare profile fdating.com - cont activ Tudor,PLANIFICAT,personal,2,2026-04-12
IDEA-042,DELECROIX,PARTENERIAT,plan,D:\MEMORY\DELECROIX\claude.md,"Benzi transportoare recoltare Franta - distribuitor Agri Alianta, 10% comision",ACTIV,7500-52500/an,5,2026-04-12
IDEA-043,ENRICHMENT RO,DATE,cod,-,"Imbogatire 8.9M companii RO: CUI→ANAF→website→scrape email. 19K→100K+ emailuri.",PLANIFICAT,multiplicator campanii RO,20,2026-04-13
IDEA-044,TELEGRAM LICITATII BOT,PRODUS,cod,-,"Bot Telegram platit: 5.1M licitatii + TED monitor. Gratuit 3/zi, premium EUR 19/luna nelimitat+filtre",PLANIFICAT,500-2000/luna,8,2026-04-13
IDEA-045,CLASIFICATOR EMAIL SAAS,PRODUS,cod,LLM/train_classifier.py,"API clasificare email (sklearn 94.5%). EUR 29/luna/1000 clasificari. FastAPI + landing page",PLANIFICAT,500-3000/luna,15,2026-04-13
IDEA-046,CATALOAGE DOMENII,PRODUS,cod,INVENTAR/IDEA-046/,"Agent 3: 9 domenii x 20 tari cu cataloage angajatori din DB + Agent 5: Data Quality (email valid + dedup). Deploy raspibig /opt/ACTIVE/WEB/CATALOGS/ + /opt/ACTIVE/AGENTS/",ACTIV,10000-60000/an,10,2026-04-13
IDEA-047,DASHBOARD ACCES,PRODUS,cod,-,"Vinde acces dashboard live (insolventa+TED+SEAP) EUR 49-199/luna in loc de CSV one-shot",PLANIFICAT,2000-10000/luna,30,2026-04-13
IDEA-048,WHATSAPP SEAP FOOD,CAMPANIE,cod,-,"WhatsApp Business API catre 4175 numere SEAP food. 90% open rate",PLANIFICAT,500-5000/contract,5,2026-04-13
IDEA-049,LEAD BROKER RO,PRODUS,plan,-,"Furnizor leaduri pentru agentii temporare RO. EUR 50-200/lead din campaniile existente",PLANIFICAT,2000-10000/luna,5,2026-04-13
IDEA-050,LANDING A/B TEST,PRODUS,cod,-,"Generator automat variante landing page (titluri+layout) + tracking conversii pe 28 domenii",PLANIFICAT,multiplicator conversii,15,2026-04-13
IDEA-051,UPSELL RECOMMENDER,PRODUS,cod,-,"Post-zbor: sugereaza hotel (Booking 25-40%) + activitati (GetYourGuide 8%). Cross-sell pe trafic",PLANIFICAT,comisioane affiliate,20,2026-04-13
IDEA-052,SEO CONTENT REWRITER,PRODUS,cod,-,"LLM rescrie+expandeaza pagini SEO pe 28 domenii. Google adora continut actualizat. Qwen automat",PLANIFICAT,trafic organic x2,10,2026-04-13
IDEA-053,FRAUD BOT DETECTION,PRODUS,cod,-,"Detecteaza trafic fake + click-uri suspecte pe affiliate links. Analiza access logs A2",PLANIFICAT,protejeaza comisioane,8,2026-04-13
IDEA-054,TIME OPTIMIZATION,PRODUS,cod,-,"Invata cand cumpara oamenii. Optimizeaza timing emailuri + promotii rute. Date din pipeline",PLANIFICAT,+20-30% open rate,10,2026-04-13
IDEA-055,API HEALTH AGENT,PRODUS,cod,-,"Monitorizeza API-uri (Kiwi etc). Fallback automat daca pica. Uptime = bani",PLANIFICAT,zero downtime,8,2026-04-13
IDEA-056,TERENURI AGENTS,PRODUS,cod,INVENTAR/IDEA-056/,"10 agenti: ListingHunter + PriceAnomaly + Geo + Legal + DevPotential + CMA + Resale + DealAlert + SellerMotivation + Portfolio. OLX+Imobiliare+ANAF+BPI",ACTIV,flip-uri imobiliare,40,2026-04-13
IDEA-057,SELL NGO LEADS,PRODUS,plan,ASOCIATII/ONG_SHORTLIST_5000.csv,"Vinde lista 5000 ONG-uri scoruite catre agentii marketing + consultanti ONG + furnizori IT. EUR 50-200/lista",PLANIFICAT,50-200/lista,3,2026-04-14
IDEA-058,HORECA BROKER,PRODUS,plan,FOOD/SUPERMARKETS_CLAUDE/,"Broker campanii email: 27820 emailuri HORECA + 32545 contacte distributie. EUR 500-2000/campanie pt distribuitori alimentari",PLANIFICAT,500-2000/campanie,8,2026-04-14
IDEA-059,INSOLVENTA ALERTS SUB,PRODUS,cod,UNIFIED DB USAGE/company_lookup.py,"Abonament alerte insolventa: 770K companii + 222K falimente + ANAF live. Email zilnic catre contabili/avocati. EUR 29-99/luna",PLANIFICAT,2000-8000/luna,4,2026-04-14
IDEA-060,LLM EMAIL SAAS,PRODUS,cod,LLM/email_responder.py,"Vinde clasificator email ca serviciu B2B: agentii recrutare + imobiliare + logistica. 97.2% acuratete. EUR 49-149/luna/client",PLANIFICAT,2000-7000/luna,15,2026-04-14
IDEA-061,COMPANY REPORT SHOP,PRODUS,cod,UNIFIED DB USAGE/,"Raport companie RO la cerere: ANAF live + bilant + insolventa + SEAP contracte + angajati. EUR 5-20/raport. Mini-Coface pentru IMM-uri",PLANIFICAT,1000-5000/luna,6,2026-04-14
IDEA-062,EBRD CONTRACTOR ALERTS,PRODUS,plan,BERD EBRD/,"Alerte proiecte EBRD: 4176 proiecte 42 tari + 134 contractori. EUR 49/luna/contractor. Platesti sa afli licitatii inainte sa apara public",PLANIFICAT,3000-10000/luna,8,2026-04-14
IDEA-063,CV PARSING API,PRODUS,cod,CV/,"CV scanner existent → API. Agentii recrutare platesc EUR 0.50-2/CV parsat. 100 CV/zi = EUR 50-200/zi",PLANIFICAT,1500-6000/luna,12,2026-04-14
IDEA-064,DOMAIN MONETIZATION,PRODUS,plan,-,"15 domenii job (.eu) cu trafic SEO. Affiliate links (Indeed EUR 0.10-1/click + Booking + Travelpayouts). Zero efort dupa setup",PLANIFICAT,500-3000/luna,4,2026-04-14
IDEA-065,TELEGRAM PREMIUM CHANNELS,PRODUS,cod,-,"Canale Telegram platite: @JobAlerts (EUR 5/luna) + @TenderAlerts (EUR 19/luna) + @InsolvencyRO (EUR 9/luna). Continut automat din DB",PLANIFICAT,500-3000/luna,6,2026-04-14
IDEA-066,ANAF ENRICHMENT SERVICE,PRODUS,cod,-,"Serviciu imbogatire date: clientul trimite lista CUI-uri → primeste inapoi cu ANAF+email+telefon+bilant. EUR 0.05-0.20/record. Bulk",PLANIFICAT,2000-10000/luna,8,2026-04-14
IDEA-067,WHITE LABEL CATALOGS,PRODUS,cod,D:\AUTOMATION\generate_catalog_master.py,"Cataloage angajatori white-label pt agentii recrutare. Agentia isi pune logo → trimite la clienti. EUR 200-500/catalog custom",PLANIFICAT,1000-5000/luna,5,2026-04-14
IDEA-068,EU TENDER ALERTS NEWSLETTER,PRODUS,cod,-,"Newsletter platit: licitatii UE filtrate pe sector (constructii/food/IT). 5.1M tenders. EUR 19-49/luna. Mailrelay 2666/zi gratuit",PLANIFICAT,2000-8000/luna,10,2026-04-14
IDEA-069,EXPAT REFERRAL FEES,PRODUS,plan,EXPAT RELOCATION SERVICE PLAN/,"1166 furnizori (fiscali+avocati+auditori). Cand expatul foloseste furnizorul → comision 10-15%. EUR 50-150/referral",PLANIFICAT,1000-5000/luna,3,2026-04-14
IDEA-070,MADR LAND INVESTOR DATA,PRODUS,plan,MADR/,"9658 anunturi terenuri agricole 36 judete + CMA lunar. Vinde catre fonduri agricole + investitori imobiliari. EUR 99-299/abonament lunar",PLANIFICAT,2000-8000/luna,5,2026-04-14
IDEA-071,NEWSLETTER SPONSORSHIP,CAMPANIE,plan,-,"6300 emailuri/zi → vinde spatiu sponsorizat in campaniile existente. EUR 50-200/1000 emailuri trimise. Niche B2B = CPM mare",PLANIFICAT,1000-5000/luna,2,2026-04-14
IDEA-072,CHINA IMPORT BROKER,CAMPANIE,plan,CHINA/,"2.5M fabrici chineze + cooperativa RO. Conecteaza producatori chinezi cu importatori RO/UE. Comision 3-5% pe comanda",PLANIFICAT,5000-50000/an,20,2026-04-14
IDEA-073,RECRUITMENT DATA API,PRODUS,cod,-,"API REST: cauta companii/angajatori/licitatii din 208M records. EUR 99-499/luna/cheie API. Clienti: HR tech + fintech + legaltech",PLANIFICAT,3000-15000/luna,25,2026-04-14
IDEA-074,COOPERATIVE MEMBERSHIP FEE,PRODUS,plan,COOPERATIVA BUSINESS/,"Taxa aderare cooperativa: EUR 50-200/producator/an. 140 membri x EUR 100 = EUR 14000/an. + taxa procesare 5% pe vanzari",PLANIFICAT,14000-50000/an,2,2026-04-14
IDEA-075,MULTILINGUAL JOB ADS,PRODUS,cod,ARTICLES/,"Sistem articole LLM → 11 limbi → 15 domenii. Vinde serviciu traducere anunturi job catre agentii: EUR 10-50/anunt x 11 limbi",PLANIFICAT,1000-5000/luna,5,2026-04-14
IDEA-076,EMAIL MARKETING AGENCY,SERVICIU,plan,-,"Agentie email marketing pt firme RO. Ai infra (6300/zi + 11 Brevo + Mailrelay + Zoho). EUR 300-1000/client/luna. Stii Brevo mai bine ca oricine",PLANIFICAT,3000-10000/luna,10,2026-04-14
IDEA-077,SEAP BIDDING ASSISTANT,SERVICIU,plan,-,"Ajuta firme sa liciteze pe SEAP. Tu ai 5.1M licitatii + alerte + matchmaking. EUR 200-500/licitatie pregatita + 5% success fee",PLANIFICAT,5000-20000/luna,15,2026-04-14
IDEA-078,WORKER ACCOMMODATION,PRODUS,plan,-,"Platforma cazare muncitori langa santiere/fabrici. Conecteaza proprietari cu angajatori care plaseaza muncitori. Comision EUR 50-100/luna/pat",PLANIFICAT,2000-10000/luna,20,2026-04-14
IDEA-079,DUE DILIGENCE REPORTS,PRODUS,cod,-,"Raport complet pre-achizitie: ANAF+bilant+insolventa+SEAP+angajati+actionari. Pentru M&A si investitori. EUR 200-1000/raport",PLANIFICAT,5000-20000/luna,15,2026-04-14
IDEA-080,SEASONAL AGRI PLACEMENT,CAMPANIE,plan,-,"Plasare sezoniera: recoltare vara (Jun-Sep). 1507 producatori montani au nevoie de muncitori. Tu ai candidati pe 15 domenii. Comision EUR 200-500/plasare",PLANIFICAT,10000-50000/sezon,5,2026-04-14
IDEA-081,SUBSTACK JOBS NEWSLETTER,PRODUS,plan,-,"Newsletter Substack gratuit (top 10 joburi/saptamana) + platit EUR 5/luna (toate + alerte). Trafic → 15 domenii. substack-api pe raspibig",PLANIFICAT,500-3000/luna,4,2026-04-14
IDEA-082,DATA CLEANING SERVICE,SERVICIU,cod,-,"Clientul trimite CSV murdar → primeste curat: dedup + validare email + normalizare telefon + ANAF enrichment. EUR 0.02-0.10/record. Pipeline exista deja",PLANIFICAT,2000-8000/luna,6,2026-04-14
IDEA-083,SALARY BENCHMARKING,PRODUS,plan,-,"Rapoarte salariale pe sector/tara din datele job de pe 15 domenii + TED + SEAP. Agentii platesc EUR 49-199/raport. Generat automat",PLANIFICAT,1000-5000/luna,12,2026-04-14
IDEA-084,WHITELABEL CAMPAIGNS,SERVICIU,plan,-,"Ruleaza campanii email in numele altor firme. Infra ta (6300/zi) + template-uri + tracking. EUR 0.05-0.15/email trimis. Agentii nu au infra",PLANIFICAT,3000-15000/luna,8,2026-04-14
IDEA-085,WORKER INSURANCE BROKER,PARTENERIAT,plan,-,"Muncitorii plasati in UE au nevoie de asigurare medicala+accident. Parteneriat cu ALLIANZ/GROUPAMA. Comision 10-20% din prima. 100 plasari/luna = EUR 2000-5000",PLANIFICAT,2000-5000/luna,3,2026-04-14
IDEA-086,DOCUMENT PREPARATION,SERVICIU,plan,-,"Pregatire documente: permise munca + vize + contracte + detasare A1. EUR 100-300/dosar. Automatizat cu template-uri. 50 dosare/luna = EUR 5000-15000",PLANIFICAT,5000-15000/luna,10,2026-04-14
IDEA-087,PRINT TRADE FAIR CATALOGS,PRODUS,cod,-,"Cataloage tiparite pt targuri (FRESKON/INDAGRA/MEAT&CHILL). Acelasi generator HTML→PDF dar print-ready. EUR 500-2000/catalog custom pt expozanti",PLANIFICAT,2000-8000/targ,5,2026-04-14
IDEA-088,NODE-RED AUTOMATION SHOP,PRODUS,plan,-,"Vinde flow-uri Node-RED pre-construite: email sorter + campaign sender + IMAP monitor + webhook. EUR 20-100/flow. Piata IoT/automation",PLANIFICAT,500-2000/luna,8,2026-04-14
IDEA-089,WORDPRESS MAINTENANCE,SERVICIU,plan,-,"8 WP site-uri proprii = expertiza. Ofera mentenanta WP altor firme RO: update+backup+security+SEO. EUR 50-200/site/luna. 20 clienti = EUR 1000-4000",PLANIFICAT,1000-4000/luna,5,2026-04-14
IDEA-090,FRANCHISE RECRUITMENT,PRODUS,plan,-,"Licentiaza sistemul (28 domenii + DB + campanii + LLM) catre agentii recrutare din alte tari. EUR 500-2000/luna/licenta. Ei primesc infra completa",PLANIFICAT,5000-20000/luna,40,2026-04-14
IDEA-091,FARMER WHATSAPP BOT,PRODUS,cod,-,"Bot WhatsApp pt producatori cooperativa: pret piata azi + meteo + cerere cumparatori + compliance deadlines. LLM local. EUR 5-20/producator/luna",PLANIFICAT,700-2800/luna,15,2026-04-14
IDEA-092,JOB FAIR ORGANIZER,CAMPANIE,cod,D:\MEMORY\JOBFAIRS\,"Targuri joburi virtuale pe domenii .eu. 5601 linii cod existente (DB+email+ANOFM+GDPR). Angajatorii platesc EUR 200-500/stand. 20/targ = EUR 4000-10000. Nevoie: landing pages + plata + matching live",ACTIV,4000-10000/targ,20,2026-04-14
IDEA-093,GDPR COMPLIANCE TOOL,PRODUS,cod,-,"Audit GDPR automat pt firmele din DB: scaneaza website → raporteaza lipsuri (cookie banner/privacy policy/DPO). EUR 29-99/audit. 770K firme RO = piata mare",PLANIFICAT,2000-8000/luna,15,2026-04-14
IDEA-094,PAYROLL BRIDGE,SERVICIU,plan,-,"Serviciu salarizare pt muncitori detasati: calcul taxe RO+tara gazda + fluturasi + declaratii. EUR 15-30/angajat/luna. 200 angajati = EUR 3000-6000",PLANIFICAT,3000-6000/luna,25,2026-04-14
IDEA-095,ESCROW FARM TRANSACTIONS,PRODUS,plan,-,"Plati securizate intre cumparatori si producatori prin cooperativa. Comision 2-3% pe tranzactie. 100 tranzactii x EUR 500 avg = EUR 1000-1500/luna",PLANIFICAT,1000-1500/luna,15,2026-04-14
IDEA-096,NORWAY AGENCIES JOBFAIR,CAMPANIE,date,norway_companies_314K.csv,"Filtreaza NACE 78.xx din 314K companii NO → invita agentii la targuri recrutare RO (Bucuresti/Hunedoara). 10 agentii x 30 plasari x EUR 500-1000 = EUR 15K-30K/targ",PLANIFICAT,15000-30000/targ,5,2026-04-14
IDEA-097,NORWAY DIRECT EMPLOYERS,CAMPANIE,date,norway_companies_314K.csv,"Outreach direct catre angajatori NO (constructii/oil/maritime) — fara intermediar agentie. Marja mai mare. Filtreaza NACE constructii+oil din 314K",PLANIFICAT,5000-30000/plasare,5,2026-04-14
IDEA-098,SELL NO DATA TO RO AGENCIES,PRODUS,plan,norway_companies_314K.csv,"Vinde '500 angajatori NO constructii cu email' pe Gumroad catre agentii RO care cauta piata NO. EUR 99-199/pachet",PLANIFICAT,99-199/pachet,2,2026-04-14
IDEA-099,REVERSE JOBFAIR ONLINE,PRODUS,cod,D:\MEMORY\JOBFAIRS\,"Angajatori NO posteaza joburi pe buildjobs.eu/no/ → muncitori RO aplica online. Fara targ fizic. Scale nelimitat. Deja 5 landing pages LIVE",PLANIFICAT,200-500/listing,8,2026-04-14
IDEA-100,DELECROIX X NORWAY AGRI,PARTENERIAT,plan,norway_companies_314K.csv,"Filtreaza firme agricole NO din 314K → ofera utilaje Delecroix (benzi recoltare). Norvegia = sezon scurt = nevoie eficienta. Comision 10%",PLANIFICAT,1500-15000/an,3,2026-04-14
IDEA-101,EBRD X ISC SUBCONTRACT,CAMPANIE,plan,-,"Match contractori NO/UE din EBRD (134) cu firme constructii RO din ISC (23K). Subcontractare manopera. Comision 3-5%",PLANIFICAT,5000-50000/proiect,10,2026-04-14
IDEA-102,EXPAT UPSELL NORWAY,SERVICIU,plan,-,"Firme NO angajeaza romani → vinde servicii relocare expatsinromania.org (EUR 500-2500/pachet). Funnel natural din plasari",PLANIFICAT,2000-10000/luna,2,2026-04-14
IDEA-103,EURES PARTNERSHIP NO,PARTENERIAT,plan,-,"Devino partener oficial EURES Norvegia. Pozitioneaza InterJob ca recrutor autorizat. Legitimitate + referral-uri gratuite",PLANIFICAT,legitimitate+referrals,5,2026-04-14
IDEA-104,NORWEGIAN JOBS NEWSLETTER,PRODUS,plan,-,"Newsletter Substack 'Norwegian Jobs Weekly' — top 10 joburi NO pt romani. Gratis → audienta → monetizare cu listing premium EUR 50/post",PLANIFICAT,500-2000/luna,4,2026-04-14
IDEA-105,GUMROAD ALL IDEAS BUNDLE,PRODUS,plan,-,"Vinde MASTER INVENTORY (aceasta lista) ca 'European Business Intelligence Kit' pe Gumroad. 95 idei documentate + date + scripturi. EUR 499 one-shot",PLANIFICAT,499/vanzare,1,2026-04-14
IDEA-106,TRASABILITATE FINISH MVP,PRODUS,cod,TRASABILITATE PRODUS ALIMENTAR/,"Termina SaaS trasabilitate (60% facut). Zero competitori RO. Pitch 5 producatori din cooperativa. EUR 99-999/luna",PLANIFICAT,99-999/luna/client,40,2026-04-14
IDEA-107,ASOCIATII CROSS-SELL,CAMPANIE,date,ASOCIATII/ONG_SHORTLIST_5000.csv,"Top 5K ONG-uri → email cu servicii existente (contabilitate/IT/staffing/expat). Cross-sell din ce ai deja",PLANIFICAT,variabil,3,2026-04-14
IDEA-108,FRESKON X PRODUS MONTAN,CAMPANIE,date,FRESKON/freskon_exhibitors.csv,"Email 233 expozanti FRESKON greci → ofera supply produse montane RO. Demo: branza/miere/fructe padure",PLANIFICAT,5000-20000/contract,3,2026-04-14
IDEA-109,EU FUNDS STAFFING,CAMPANIE,date,-,"Campanie 15969 beneficiari fonduri UE → ofera muncitori pt proiecte finantate. Ei au buget alocat. Mailrelay 2666/zi",PLANIFICAT,500-5000/plasare,2,2026-04-14
IDEA-110,LEO BUZAU CAMPAIGN,CAMPANIE,date,LEO CASA BUZAU/,"374 companii cu email din 4 judete → campanie inchiriere 220 mp birou. Simplu outreach",PLANIFICAT,variabil,1,2026-04-14
IDEA-111,NORWAY WORKER DATABASE,PRODUS,cod,buildjobs.eu/no/,"Colecteaza CV-uri romani care vor Norvegia via buildjobs.eu/no/. Vinde acces agentiilor NO. EUR 20-50/CV. Tu devii supply side",PLANIFICAT,2000-10000/luna,10,2026-04-14
IDEA-112,JOBFAIR SPONSORSHIP,CAMPANIE,plan,-,"Angajatori NO platesc EUR 500-2000 sponsorizare targ. Branding + prioritate matching. 10 sponsori = EUR 5K-20K inainte de targ",PLANIFICAT,5000-20000/targ,3,2026-04-14
IDEA-113,PRE-DEPARTURE TRAINING,SERVICIU,plan,-,"Training pre-plecare pt muncitori NO: limba/siguranta/cultura. Parteneriat AJOFM sau traineri privati. EUR 100-300/muncitor. 100/targ = EUR 10K-30K",PLANIFICAT,10000-30000/targ,5,2026-04-14
IDEA-114,NORWAY PERMIT SERVICE,SERVICIU,plan,-,"Pachet documente Norvegia: D-nummer + cont bancar + NIN. EUR 150-300/dosar. Recurent per plasare. Romani=UE dar birocratie ramane",PLANIFICAT,3000-15000/luna,5,2026-04-14
IDEA-115,NORWEGIAN LANGUAGE COURSE,PRODUS,plan,-,"Curs norvegiana 30 zile generat LLM. Gumroad EUR 19. Target: romani care pleaca NO. Marketing prin buildjobs.eu/no/ + newsletter",PLANIFICAT,500-3000/luna,8,2026-04-14
IDEA-116,NORWAY ACCOMMODATION,SERVICIU,plan,-,"Gaseste cazare langa santier/fabrica NO. Parteneriat proprietari sau Finn.no listings. Comision EUR 100-200/plasare cazare",PLANIFICAT,2000-8000/luna,10,2026-04-14
IDEA-117,MULTI-COUNTRY JOBFAIR,CAMPANIE,plan,-,"Replica model NO pt FI/DK/DE/NL. Aceeasi infra. EUR 15K-30K/targ x 5 tari x 4 targuri/an = EUR 300K-600K/an",PLANIFICAT,300000-600000/an,40,2026-04-14
IDEA-118,RECRUITMENT LICENSE BROKER,SERVICIU,plan,-,"Pregatire dosar licenta ANOFM pt agentii recrutare. EUR 500-1000/dosar. 20 agentii/an = EUR 10K-20K",PLANIFICAT,10000-20000/an,5,2026-04-14
IDEA-119,SUPPLIER DEATH ALERTS,PRODUS,cod,-,"Alerta furnizori cand clientii lor intra in insolventa. 770K companii monitorizate. EUR 49/luna. Contabili + furnizori platesc",PLANIFICAT,2000-10000/luna,8,2026-04-14
IDEA-120,REVERSE RECRUITMENT,PRODUS,cod,-,"Muncitorii platesc EUR 10/luna acces DB angajatori verificati. 15 domenii x 1% conversie = EUR 1500/luna pasiv",PLANIFICAT,1500-5000/luna,10,2026-04-14
